epoch,p_lraes,p_zpia,reward_lraes,reward_zpia,aug_loss_lraes,aug_loss_zpia,margin_lraes,margin_zpia
1,0.5,0.5,0.5117159485816956,0.5134847362836202,0.6026508808135986,0.5937332908312479,0.08123133579889934,0.07638671000798543
2,0.4562357624339558,0.5437642375660442,0.7555526296297709,0.7605452537536621,0.31478429834047955,0.3099558651447296,1.4930631717046101,1.5327316125233967
3,0.3627336598484602,0.6372663401515399,0.8148349324862162,0.7917627096176147,0.1978290726741155,0.2234246830145518,2.419966379801432,2.290522734324137
4,0.6313668299242301,0.3686331700757699,0.8382373253504435,0.8306846221288046,0.15479961037635803,0.17149586975574493,2.960216840108236,2.7778565883636475
5,0.7252540732058356,0.27474592679416443,0.8998403946558634,0.889914313952128,0.11046066631873448,0.10905676086743672,3.4861491521199546,3.474767049153646
6,0.8022450907558943,0.19775490924410571,0.9138449827829996,0.9151588280995687,0.09079216420650482,0.08570624142885208,3.784720500310262,3.7880283991495767
7,0.618464112050845,0.38153588794915505,0.9326196511586508,0.9365264574686686,0.07417495797077815,0.07037855808933575,4.0055374304453535,3.997126738230387
8,0.46624534458309397,0.533754655416906,0.9394036134084066,0.9422425429026285,0.059271651009718575,0.07365543146928151,4.1259933312733965,4.145675182342529
9,0.413996609262381,0.586003390737619,0.9493444760640463,0.9510334134101868,0.06296141942342122,0.04443615426619848,4.30261754989624,4.464582602183024
10,0.4151718182082639,0.5848281817917361,0.9837926626205444,0.9801187515258789,0.02906636397043864,0.02900818611184756,5.065228462219238,5.070699373881022
11,0.5455128186398528,0.4544871813601472,0.9627882838249207,0.9499085148175558,0.055413857102394104,0.062242122987906136,4.611658175786336,4.587241331736247
12,0.7227564093199265,0.27724359068007365,0.9867963194847107,0.9833133419354757,0.021466828261812527,0.025839850306510925,5.425112724304199,5.270778973897298
13,0.6950944652358741,0.3049055347641259,0.9879159132639567,0.9773703217506409,0.020018969972928364,0.03091612147788207,5.58259391784668,5.195461908976237
14,0.7934403704849815,0.20655962951501855,0.9639561573664347,0.9904258052508036,0.038625639552871384,0.017132559170325596,5.133671601613362,5.627723375956218
15,0.4467201852424907,0.5532798147575093,0.9843650857607523,0.9935155908266703,0.023775407423575718,0.012984072479108969,5.623584588368733,5.875931104024251
