posterior_mode,dataset,beta,test_acc,posterior_confidence_q10,posterior_confidence_q50,posterior_confidence_q90,qratio,posterior_log_confidence_std,mean_selected_rank,k0_fallback_rate,helpful_override_rate,harmful_override_rate
gaussian_dimnorm,epilepsy,0.5,0.9637681159420289,8.75651089272076e-27,0.008897614665329456,0.16953779011964795,169537790119.64795,4467.5401090391815,2.5217391304347827,0.3695652173913043,0.007246376811594203,0.0
gaussian_dimnorm,epilepsy,1.0,0.9565217391304348,8.75651089272076e-27,0.008010836085304618,0.16495423614978788,164954236149.78787,4469.9420466307265,2.4927536231884058,0.37681159420289856,0.007246376811594203,0.0
gaussian_dimnorm,epilepsy,2.0,0.9565217391304348,8.75651089272076e-27,0.009341520257294178,0.1722006231546402,172200623154.6402,4435.276597034948,2.550724637681159,0.36231884057971014,0.007246376811594203,0.0
gaussian_dimnorm,epilepsy,4.0,0.9565217391304348,0.015979483723640445,0.25590501725673676,0.5813972651958466,36.38398306546744,1.955860193920539,0.0,1.0,0.007246376811594203,0.007246376811594203
gaussian_dimnorm,fingermovements,0.5,0.53,0.04775523617863655,0.3516770154237747,0.6241806566715241,13.070412935173657,1.1122749144530861,4.0,0.0,0.0,0.01
gaussian_dimnorm,fingermovements,1.0,0.53,0.04406501278281212,0.4019189327955246,0.6473279118537903,14.690292160911055,1.569688241591358,4.0,0.0,0.02,0.0
gaussian_dimnorm,fingermovements,2.0,0.53,0.0551581259816885,0.36198191344738007,0.623339867591858,11.300961671518637,1.3449571547987231,4.0,0.0,0.01,0.0
gaussian_dimnorm,fingermovements,4.0,0.55,0.21836277693510056,0.5200481116771698,0.7602755129337312,3.4817083919009333,0.6032515654704668,0.0,1.0,0.02,0.01
gaussian_dimnorm,natops,0.5,0.8833333333333333,8.75651089272076e-27,0.1653609722852707,0.43397373557090757,433973735570.9076,2782.0433021363588,2.7111111111111112,0.32222222222222224,0.0,0.0
gaussian_dimnorm,natops,1.0,0.9333333333333333,8.75651089272076e-27,0.15892186760902405,0.39261098504066466,392610985040.6647,5270.512714056917,2.6444444444444444,0.3388888888888889,0.0,0.0
gaussian_dimnorm,natops,2.0,0.95,8.75651089272076e-27,0.1560654491186142,0.39381663203239436,393816632032.39435,3517.1443843847,2.688888888888889,0.3277777777777778,0.005555555555555556,0.0
gaussian_dimnorm,natops,4.0,0.8833333333333333,0.03831116817891598,0.14619189500808716,0.35391173064708703,9.237821436148675,1.183733613871638,0.0,1.0,0.005555555555555556,0.011111111111111112
gaussian_dimnorm,selfregulationscp1,0.5,0.78839590443686,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,1285.2005840755585,0.0,1.0,0.0,0.0
gaussian_dimnorm,selfregulationscp1,1.0,0.8327645051194539,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,3595.435623581523,0.0,1.0,0.0,0.0
gaussian_dimnorm,selfregulationscp1,2.0,0.8327645051194539,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,1990.0755069020622,0.0,1.0,0.0,0.0
gaussian_dimnorm,selfregulationscp1,4.0,0.757679180887372,0.2297287315130234,0.6317247748374939,0.7986289739608765,3.4764000510558777,0.8471234465946397,0.0,1.0,0.006825938566552901,0.023890784982935155
student_t,epilepsy,0.5,0.9492753623188406,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,223.0451349279205,2.2318840579710146,0.4420289855072464,0.0,0.0
student_t,epilepsy,1.0,0.9565217391304348,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,220.80818658174266,2.289855072463768,0.427536231884058,0.007246376811594203,0.0
student_t,epilepsy,2.0,0.9565217391304348,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,221.35250386705917,2.260869565217391,0.43478260869565216,0.007246376811594203,0.0
student_t,epilepsy,4.0,0.9565217391304348,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,51.989278808476826,0.0,1.0,0.007246376811594203,0.0
student_t,fingermovements,0.5,0.53,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,41.76374538265903,0.0,1.0,0.0,0.0
student_t,fingermovements,1.0,0.51,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,53.83930397714499,0.0,1.0,0.0,0.0
student_t,fingermovements,2.0,0.55,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,38.343838125882876,0.0,1.0,0.0,0.0
student_t,fingermovements,4.0,0.59,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,46.142005575195384,0.0,1.0,0.0,0.01
student_t,natops,0.5,0.7944444444444444,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,193.26322933913085,0.6666666666666666,0.8333333333333334,0.0,0.0
student_t,natops,1.0,0.9277777777777778,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,198.5988896750322,0.6666666666666666,0.8333333333333334,0.0,0.0
student_t,natops,2.0,0.9222222222222223,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,256.4557607624466,2.022222222222222,0.49444444444444446,0.005555555555555556,0.0
student_t,natops,4.0,0.8611111111111112,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,34.103600955862575,0.0,1.0,0.0,0.0
student_t,selfregulationscp1,0.5,0.7815699658703071,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,46.48608192394699,0.0,1.0,0.0,0.0
student_t,selfregulationscp1,1.0,0.8122866894197952,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,52.47420768540475,0.0,1.0,0.0,0.0
student_t,selfregulationscp1,2.0,0.8191126279863481,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,54.90123403734753,0.0,1.0,0.0,0.0
student_t,selfregulationscp1,4.0,0.7610921501706485,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-15,56.89442117269738,0.0,1.0,0.0034129692832764505,0.034129692832764506
