dataset,label,prototype_geometry_mode,prob_tangent_version,rank_selection_mode,posterior_mode,posterior_student_dof,mdl_penalty_beta,subproto_temperature,test_acc,test_macro_f1,final_acc,local_acc,final_override_rate,helpful_override_rate,harmful_override_rate,selected_rank_distribution,mean_selected_rank,k0_fallback_rate,lw_shrinkage_alpha_mean,ppca_sigma2_mean,posterior_confidence_mean,posterior_confidence_std,posterior_confidence_q10,posterior_confidence_q50,posterior_confidence_q90,posterior_confidence_qgap,posterior_confidence_qratio,posterior_confidence_far_decay_mean,posterior_log_confidence_mean,posterior_log_confidence_std,posterior_residual_energy_mean,posterior_residual_energy_per_dim_mean,posterior_sigma2_eff_mean,run_dir,E0_acc
natops,center_prob_tangent_v3_refined_b0p5,center_prob_tangent,v3,mdl,student_t,3.0,0.5,1.0,0.7944444444444444,0.7645352311974806,0.7944444444444444,0.3333333333333333,0.0,0.0,0.0,"{""0"": 150, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 30}",0.6666666666666666,0.8333333333333334,0.12903031706809998,0.000566636205822609,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-742.782014465332,193.26322933913085,317.45637351142034,2.4885207951068877,0.21807073766831309,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b0p5_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v3_refined_b1p0,center_prob_tangent,v3,mdl,student_t,3.0,1.0,1.0,0.9277777777777778,0.9275846632578867,0.9277777777777778,0.3333333333333333,0.0,0.0,0.0,"{""0"": 150, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 30}",0.6666666666666666,0.8333333333333334,0.129029909769694,0.0005665120682844341,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-733.6743207295735,198.5988896750322,231.62522996266682,1.8154974884457058,0.2178728481133779,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b1p0_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v3_refined_b2p0,center_prob_tangent,v3,mdl,student_t,3.0,2.0,1.0,0.9222222222222223,0.9168627565848784,0.9222222222222223,0.5722222222222222,0.005555555555555556,0.005555555555555556,0.0,"{""0"": 89, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 91}",2.022222222222222,0.49444444444444446,0.39137338366773394,0.001714300805454943,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-564.1326836480034,256.4557607624466,208.91831294165718,1.658128304945098,0.6584493231471343,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b2p0_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v3_refined_b4p0,center_prob_tangent,v3,mdl,student_t,3.0,4.0,1.0,0.8611111111111112,0.8411102988953867,0.8611111111111112,0.8333333333333334,0.0,0.0,0.0,"{""0"": 180}",0.0,1.0,0.7741553780105379,0.004378029052168131,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-338.86986050075956,34.103600955862575,341.7787949456109,2.6701468355125852,1.6811631851726108,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b4p0_natops_seed1,0.8388888888888889
fingermovements,center_prob_tangent_v3_refined_b0p5,center_prob_tangent,v3,mdl,student_t,3.0,0.5,1.0,0.53,0.5219204557013528,0.53,0.49,0.0,0.0,0.0,"{""0"": 100}",0.0,1.0,0.0,9.999999974752427e-07,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-780.7114208984375,41.76374538265903,121.7806877708435,0.9514116232097148,0.0006510971579700708,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b0p5_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v3_refined_b1p0,center_prob_tangent,v3,mdl,student_t,3.0,1.0,1.0,0.51,0.5015766453056658,0.51,0.49,0.0,0.0,0.0,"{""0"": 100}",0.0,1.0,0.0,9.999999974752427e-07,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-770.5247564697265,53.83930397714499,229.8635424041748,1.7958089250326157,0.0012241730000823736,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b1p0_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v3_refined_b2p0,center_prob_tangent,v3,mdl,student_t,3.0,2.0,1.0,0.55,0.5495946351716545,0.55,0.49,0.0,0.0,0.0,"{""0"": 100}",0.0,1.0,0.0,9.999999974752427e-07,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-768.5512097167968,38.343838125882876,129.42270866394043,1.0111149114370346,0.0008512964122928679,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b2p0_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v3_refined_b4p0,center_prob_tangent,v3,mdl,student_t,3.0,4.0,1.0,0.59,0.5777983729790959,0.59,0.53,0.01,0.0,0.01,"{""0"": 100}",0.0,1.0,0.7741882824897766,0.0043879133649170395,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-268.9518395996094,46.142005575195384,133.95292293548584,1.0465072104334832,1.6849587059020996,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b4p0_fingermovements_seed1,0.61
selfregulationscp1,center_prob_tangent_v3_refined_b0p5,center_prob_tangent,v3,mdl,student_t,3.0,0.5,1.0,0.7815699658703071,0.7752852075544052,0.7815699658703071,0.5017064846416383,0.0,0.0,0.0,"{""0"": 293}",0.0,1.0,0.0,9.999999974752427e-07,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-740.5758708654411,46.48608192394699,81.48418140085892,0.6365951671942103,0.0007960149337324622,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b0p5_selfregulationscp1_seed1,0.78839590443686
selfregulationscp1,center_prob_tangent_v3_refined_b1p0,center_prob_tangent,v3,mdl,student_t,3.0,1.0,1.0,0.8122866894197952,0.8087217652435044,0.8122866894197952,0.5017064846416383,0.0,0.0,0.0,"{""0"": 293}",0.0,1.0,0.0,9.999999974752427e-07,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-755.4719298691473,52.47420768540475,128.1811430869249,1.0014151803666007,0.0008800591214213507,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_student_t/e2/center_prob_tangent_v3_refined_b1p0_selfregulationscp1_seed1,0.78839590443686
