anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
102,handwriting_train_0,20,0,8,1.0,0.1,0.05030212907882678,1.0,0.05030212907882678,0.5030212907832375,0.10060425815775417,lraes,lraes,0.00015674039484086112,0.00016898885978161492,1.0512129153807535,0.07112977213183885,1.8145948648452759,0.8599162887998866
78,handwriting_train_1,21,0,3,1.0,0.1,0.1,1.0,0.22657721214046153,0.99999999999,0.45315442428137626,lraes,lraes,0.00015984657144604207,0.000306743296430649,1.1015952439943615,0.1416141998286986,1.0802502632141113,0.7465413404059059
35,handwriting_train_10,5,0,0,1.0,0.1,0.0696751215855737,1.0,0.0696751215855737,0.6967512158487693,0.13935024317128675,lraes,lraes,0.00016088303425098238,0.00018693234437121127,1.0579190492556265,0.09223215265417564,2.7996668815612793,0.9426578203539835
105,handwriting_train_100,18,0,3,1.0,0.1,0.07507222020323844,1.0,0.07507222020323844,0.750722202024877,0.15014444040662703,lraes,lraes,0.00015868919041129662,0.0006330676849323148,1.0792594544049647,0.11128294272250315,-0.1323578953742981,0.4669587484851108
21,handwriting_train_101,12,0,5,1.0,0.1,0.1,0.9999999403953552,0.17898904407695376,0.99999999999,0.3579780668171087,lraes,lraes,0.0001627271690897636,0.00025403415899494084,1.084405503547422,0.13471646578605853,1.6959102153778076,0.844999830379425
65,handwriting_train_102,25,0,5,1.0,0.1,0.1,0.9999999403953552,0.16767622703522106,0.99999999999,0.33535243408221355,lraes,lraes,0.00016277856667752574,0.0006729351069281634,1.0878670408143454,0.13749940904823071,2.7601284980773926,0.9404828270949632
39,handwriting_train_104,3,0,8,-1.0,0.1,0.1,1.0,0.11289393543045018,0.99999999999,0.22578787086112617,lraes,lraes,0.00015630589273914078,0.0002515812795415823,1.1048252619688002,0.14187957520121924,-0.7792513966560364,0.3144812496439833
8,handwriting_train_105,21,0,4,1.0,0.1,0.1,1.0,0.11986636192876303,0.99999999999,0.2397327238577658,lraes,lraes,0.00016077269048577012,0.00017548490082029385,1.0982051613230215,0.14208718382231203,1.2115598917007446,0.7705748375294428
103,handwriting_train_106,17,0,4,1.0,0.1,0.1,1.0,0.19097434427064192,0.99999999999,0.3819486885416658,lraes,lraes,0.00016088482087439894,0.00033287753817791676,1.1016866467446207,0.14805309328999924,0.33225685358047485,0.5823084025445364
116,handwriting_train_107,8,0,6,1.0,0.1,0.0992426640490816,0.9999999403953552,0.0992426640490816,0.9924266404808916,0.1984853162677142,lraes,lraes,0.0001607170313234075,0.00022608262135268427,1.0916505224743573,0.14288767257404936,-0.44014906883239746,0.39170544970802806
54,handwriting_train_108,14,0,0,1.0,0.1,0.07441719661619578,1.0,0.07441719661619578,0.744171966154516,0.1488343932325404,lraes,lraes,0.00016126065055482606,0.00031033869982704924,1.0619659413900742,0.09868201277579428,0.763008713722229,0.6820066013780259
88,handwriting_train_110,22,0,7,-1.0,0.1,0.07091538979422383,1.0,0.07091538979422383,0.7091538979351467,0.1418307795885895,lraes,lraes,0.0001594845454583562,0.0002807839921637122,1.0650094994187087,0.10133882727628933,0.278584361076355,0.569199127082382
97,handwriting_train_111,13,0,2,-1.0,0.1,0.04172277932523902,1.0,0.04172277932523902,0.41722779324821785,0.08344555865056148,lraes,lraes,0.00015439025026450632,0.00016754484244406917,1.0389842059269325,0.05558932810539322,-0.5619229078292847,0.36310265279869985
38,handwriting_train_112,25,0,4,1.0,0.1,0.08114759826899061,1.0,0.08114759826899061,0.8114759826817912,0.16229519653814353,lraes,lraes,0.00015967505386995162,0.0002431547250162576,1.0805395034801568,0.1163451402650041,2.326082468032837,0.9110142640487142
60,handwriting_train_113,20,0,2,1.0,0.1,0.1,1.0,0.19963913817200074,0.99999999999,0.3992782763444008,lraes,lraes,0.00016125498052282415,0.00041982945063545775,1.0964782719167097,0.14100310505826805,0.7279261946678162,0.6743500254073801
27,handwriting_train_115,19,0,1,1.0,0.1,0.1,1.0,0.10918545826918458,0.99999999999,0.21837091653858753,lraes,lraes,0.00016464168121879428,0.00020377594256859938,1.0676675897461518,0.1238037425464193,0.6419727206230164,0.6551992605579723
51,handwriting_train_116,12,0,9,-1.0,0.1,0.1,1.0,0.11877989016042381,0.99999999999,0.2375597803210852,lraes,lraes,0.000154680781808096,0.00023573575907906763,1.1027397040248,0.13744146513427147,1.3208237886428833,0.7893187308346897
10,handwriting_train_117,1,0,9,1.0,0.1,0.04122317579736504,1.0,0.04122317579736504,0.41223175796952805,0.08244635159481253,lraes,lraes,0.00015716507277892768,0.00017658186482599885,1.0406689813187835,0.05787841449268137,0.7073357701301575,0.6698121953649311
12,handwriting_train_118,17,0,4,-1.0,0.1,0.1,1.0,0.16430754678334744,0.99999999999,0.3286150935670235,lraes,lraes,0.00015360745064771041,0.00024935238022123876,1.0999443811121608,0.1348796567678533,0.11052864789962769,0.527604065417732
33,handwriting_train_12,19,0,2,1.0,0.1,0.1,1.0,0.10499246672686102,0.99999999999,0.20998493345393204,lraes,lraes,0.00016129399551547652,0.00027815763761180267,1.0981040522078465,0.14305276943277073,0.7691998481750488,0.6833477794166171
6,handwriting_train_121,13,0,1,-1.0,0.1,0.1,1.0,0.11800632514874487,0.99999999999,0.23601265029772578,lraes,lraes,0.00014870368686345143,0.00019596983719011586,1.0691418360119207,0.11353675262257157,-0.23561415076255798,0.44136745573530606
86,handwriting_train_122,25,0,8,-1.0,0.1,0.1,1.0,0.1021328078390482,0.99999999999,0.20426561567830068,lraes,lraes,0.0001563096963305006,0.00022336632361699902,1.104825114469805,0.14210669132926135,2.5413401126861572,0.9269895771867158
109,handwriting_train_123,11,0,3,1.0,0.1,0.1,1.0,0.17737563320385694,0.99999999999,0.35475126640806864,lraes,lraes,0.00015987714986389365,0.0007064090749312761,1.102859343889775,0.1432757818695683,-0.3772020936012268,0.40680189491482643
95,handwriting_train_125,17,0,5,1.0,0.1,0.1,0.9999999403953552,0.10271854589845032,0.99999999999,0.2054370795521012,lraes,lraes,0.0001627165099950561,0.00019640264591176524,1.0839336433502709,0.13411401635902892,-0.49371469020843506,0.37901887283112484
26,handwriting_train_127,16,0,9,1.0,0.1,0.1,1.0,0.11380442314051953,0.99999999999,0.22760884628126668,lraes,lraes,0.00015982787288487321,0.00022093490849007155,1.1028790764930614,0.14416746265563005,1.003764271736145,0.7317980353448823
40,handwriting_train_128,9,0,7,1.0,0.1,0.03153787328133758,1.0,0.03153787328133758,0.315378732810222,0.06307574656273823,lraes,lraes,0.00015469956609688563,0.00017321015917661772,1.0274923146504262,0.04167620124064895,0.44875824451446533,0.6103439549269973
